"","Log_Total_hour_salary","ingtot","y_ingLab_m","y_salary_m","y_salarySec_m","y_ingLab_m_ha","y_salary_m_hu","y_salarySec_m_ha","totalHoursWorked","hoursWorkUsual","hoursWorkActualSecondJob","age","sex","estrato1","maxEducLevel","college","edu_years","exp","oficio","relab","formal","microEmpresa","regSalud","sizeFirm","p6240","ocu","dsi"
"4463",8.79650704702313,1640333,1360000,1260000,NA,6611.111328125,6125,NA,48,48,NA,56,1,3,5,0,6,44,98,1,1,"No Small",1,5,1,1,0
"4464",8.80868739762379,1793333.66666667,1376666.625,1260000,NA,6692.12939453125,6125,NA,48,48,NA,44,1,3,7,0,15,23,21,1,1,"No Small",1,5,1,1,0
"4465",10.8072839131977,10158000,10158000,10158000,NA,49379.16796875,49379.16796875,NA,48,48,NA,31,0,3,7,0,20,5,21,1,1,"No Small",1,4,1,1,0
"4466",8.53145285385325,1869453,869453,781242,NA,5071.80908203125,4557.2451171875,NA,40,40,NA,45,0,3,6,1,11,28,55,1,1,"No Small",1,3,1,1,0
"4467",8.4304511318506,884166.666666667,884166.6875,840000,NA,4584.56787109375,4355.5556640625,NA,45,45,NA,25,1,3,6,1,11,8,80,1,1,"No Small",1,5,1,1,0
"4468",8.70832728461453,1245211,1245211,907000,NA,6053.10888671875,4409.02783203125,NA,48,48,NA,36,1,3,7,0,12,18,39,1,1,"No Small",1,5,1,1,0
"4469",8.31911375379927,843742,843742,781242,NA,4101.5234375,3797.7041015625,NA,48,48,NA,36,0,3,6,1,11,19,39,1,1,"No Small",1,4,1,1,0
"4470",8.67134389914528,1200000,1200000,1200000,NA,5833.33349609375,5833.33349609375,NA,48,48,NA,21,0,3,7,0,13,2,33,1,1,"No Small",1,4,1,1,0
"4471",8.26587877011078,1e+06,1e+06,1e+06,NA,3888.88891601562,3888.88891601562,NA,60,60,NA,29,0,3,6,1,11,12,45,1,0,"Small",3,2,1,1,0
"4472",8.26587877011078,9e+05,9e+05,9e+05,NA,3888.88891601562,3888.88891601562,NA,54,54,NA,24,0,3,6,1,11,7,50,1,0,"Small",3,2,1,1,0
"4473",8.42808017571209,1182877.66666667,940877.6875,8e+05,NA,4573.7109375,3888.88891601562,NA,48,48,NA,27,1,2,6,1,11,10,97,1,1,"No Small",1,5,1,1,0
"4474",8.42447357897409,781242,781242,781242,NA,4557.2451171875,4557.2451171875,NA,40,40,NA,27,0,3,7,0,13,8,34,1,0,"No Small",1,5,1,1,0
"4475",8.24056097661395,975000,975000,9e+05,NA,3791.66674804688,3500,NA,60,60,NA,37,1,1,5,0,9,22,45,1,1,"No Small",1,5,1,1,0
"4476",8.50608692026049,1017211,1017211,9e+05,NA,4944.77587890625,4375,NA,48,48,NA,34,1,1,5,0,9,19,95,1,1,"No Small",1,4,1,1,0
"4477",8.60828577159821,1808333.33333333,1408333.375,1300000,NA,5476.85205078125,5055.5556640625,NA,60,60,NA,52,1,1,4,0,5,41,58,1,1,"No Small",1,3,1,1,0
"4478",8.26587877011078,950000,8e+05,8e+05,NA,3888.88891601562,3888.88891601562,NA,48,48,NA,21,0,1,6,1,10,5,53,1,0,"No Small",1,3,1,1,0
