"Log_Total_hour_salary","ingtot","y_ingLab_m","y_salary_m","y_salarySec_m","y_ingLab_m_ha","y_salary_m_hu","y_salarySec_m_ha","totalHoursWorked","hoursWorkUsual","hoursWorkActualSecondJob","age","sex","estrato1","maxEducLevel","college","edu_years","exp","oficio","relab","formal","microEmpresa","regSalud","sizeFirm","p6240","ocu","dsi"
8.74905859654232,1513140,1513140,1200000,NA,6304.75,5000,NA,56,56,NA,35,1,2,4,0,5,24,98,1,1,"No Small",1,5,1,1,0
8.36383711768092,882333.416666667,882333.4375,737717,NA,4289.12109375,3586.12426757812,NA,48,48,NA,56,0,2,6,1,11,39,55,1,1,"No Small",1,5,1,1,0
8.73196846679943,1275000,1275000,1200000,NA,6197.91650390625,5833.33349609375,NA,48,48,NA,53,0,2,6,1,11,36,45,1,1,"No Small",1,5,1,1,0
8.97453014396751,1625000,1625000,1500000,NA,7899.3056640625,7291.66650390625,NA,48,48,NA,23,0,2,7,0,15,2,39,1,1,"No Small",1,5,1,1,0
8.27099664330011,820857,820857,737717,NA,3908.8427734375,3512.93798828125,NA,49,49,NA,41,1,2,6,1,11,24,55,1,1,"No Small",1,3,1,1,0
8.29161595599613,820857,820857,737717,NA,3990.27709960938,3586.12426757812,NA,48,48,NA,32,0,2,6,1,11,15,32,1,0,"No Small",1,5,1,1,0
8.11172805889401,1550000,1200000,1200000,NA,3333.33325195312,3333.33325195312,NA,84,84,NA,62,1,2,4,0,5,51,39,1,0,"Small",3,2,1,1,0
9.01560714717557,1693140,1693140,1400000,NA,8230.5419921875,6805.5556640625,NA,48,48,NA,24,1,2,7,0,11,7,84,1,1,"No Small",1,5,1,1,0
10.1064283965328,3150000,3150000,2800000,NA,24500,21777.77734375,NA,30,30,NA,43,0,3,7,0,18,19,13,2,1,"No Small",2,5,6,1,0
10.0323204243791,2925000,2925000,2600000,NA,22750,20222.22265625,NA,30,30,NA,55,1,3,7,0,20,29,13,2,1,"No Small",2,5,6,1,0
8.36714886389406,1587717,737717,737717,NA,4303.34912109375,4303.34912109375,NA,40,40,NA,73,0,2,4,0,5,62,54,3,1,"Small",1,1,1,1,0
8.4890223590924,1e+06,1e+06,1e+06,NA,4861.111328125,4861.111328125,NA,48,48,NA,51,1,2,5,0,7,38,93,1,0,"Small",3,2,1,1,0
8.36405271080131,882523.666666667,882523.6875,737717,NA,4290.0458984375,3586.12426757812,NA,48,48,NA,47,0,3,6,1,11,30,97,1,1,"No Small",1,5,6,1,0
8.75489425053824,1237140,1087140,9e+05,NA,6341.64990234375,5250,NA,40,40,NA,29,0,3,6,1,11,12,39,1,1,"No Small",1,4,1,1,0
7.96676265309689,1551473.33333333,741473.3125,625000,NA,2883.50732421875,2430.5556640625,NA,60,60,NA,25,0,3,6,1,11,8,54,3,1,"Small",1,1,6,1,0
8.42199183381556,935166.666666667,935166.6875,781000,NA,4545.94921875,3796.52783203125,NA,48,48,NA,24,0,3,6,1,11,7,58,1,1,"No Small",1,5,1,1,0
8.42838727195939,941166.666666667,941166.6875,781000,NA,4575.11572265625,3796.52783203125,NA,48,48,NA,27,1,3,6,1,11,10,58,1,1,"No Small",1,5,1,1,0
10.7482359604723,11177083.3333333,8977084,7500000,NA,46547.84375,38888.890625,NA,45,45,NA,52,1,4,7,0,20,26,2,2,1,"No Small",1,5,6,1,0
10.3483712333287,6018333.33333333,6018333.5,5200000,NA,31206.173828125,26962.962890625,NA,45,45,NA,52,0,4,7,0,19,27,2,2,1,"No Small",1,5,1,1,0
8.86846737630359,1461473.33333333,1461473.375,1320000,NA,7104.38427734375,6416.66650390625,NA,48,48,NA,25,1,4,7,0,16,3,2,1,1,"No Small",1,5,1,1,0
9.26221227823247,2166666.66666667,2166666.75,2e+06,NA,10532.408203125,9722.22265625,NA,48,48,NA,30,0,4,7,0,16,8,2,1,1,"No Small",1,4,1,1,0
8.40201094557679,916666.666666667,916666.6875,850000,NA,4456.0185546875,4131.9443359375,NA,48,48,NA,19,0,3,7,0,12,1,33,1,1,"No Small",1,5,1,1,0
8.37176576266504,889357,889357,737717,NA,4323.26318359375,3586.12426757812,NA,48,48,NA,37,0,3,7,0,14,17,41,1,1,"No Small",1,5,6,1,0
10.1785028988429,6716666.66666667,5416666.5,5e+06,NA,26331.017578125,24305.5546875,NA,48,48,NA,41,1,4,7,0,16,19,44,1,1,"No Small",1,5,6,1,0
