Total_salary,Total_hour_salary,y_salary_m,y_salarySec_m,bin_male,age,maxEducLevel,college,oficio,p6210,p6210s1,p6240,relab,formal,ocu,dsi,totalHoursWorked,Log_Total_hour_salary,out_totalHoursWorked,out_Total_salary
8977084,46547.84375,7500000,NA,1,52,7,0,2,6,9,6,2,1,1,0,45,10.748235960472313,0,1
6018333.5,31206.173828125,5200000,NA,0,52,7,0,2,6,8,1,2,1,1,0,45,10.348371233328656,0,0
1461473.375,7104.38427734375,1320000,NA,1,25,7,0,2,6,5,1,1,1,1,0,48,8.868467376303586,0,0
2166666.75,10532.408203125,2000000,NA,0,30,7,0,2,6,5,1,1,1,1,0,48,9.26221227823247,0,0
916666.6875,4456.0185546875,850000,NA,0,19,7,0,33,6,1,1,1,1,1,0,48,8.402010945576794,0,0
889357,4323.26318359375,737717,NA,0,37,7,0,41,6,3,6,1,1,1,0,48,8.371765762665039,0,0
5416666.5,26331.017578125,5000000,NA,1,41,7,0,44,6,5,6,1,1,1,0,48,10.178502898842892,0,0
650000,5055.5556640625,650000,NA,0,33,7,0,53,6,7,1,1,1,1,0,30,8.528243049065734,0,0
849857,4131.24951171875,737717,NA,0,53,6,1,55,5,11,1,1,1,1,0,48,8.326335185407856,0,0
737717,3825.19921875,737717,NA,0,60,4,0,54,3,5,6,3,0,1,0,45,8.24936582823768,0,0
1602000,12460,1602000,NA,0,43,7,0,13,6,5,6,2,1,1,0,30,9.430278792341444,0,0
780000,3791.66674804688,780000,NA,0,62,6,1,92,5,11,6,1,0,1,0,48,8.240560976613954,0,0
3200000,12444.4443359375,3200000,NA,1,47,6,1,98,5,11,1,1,0,1,0,60,9.429029564221704,0,0
700000,16333.3330078125,700000,NA,0,44,7,0,37,6,3,4,1,1,1,0,10,9.700963268494807,1,0
800000,2333.33325195312,800000,NA,1,23,6,1,37,5,11,1,1,0,1,0,80,7.755053104492106,1,0
3201666.75,8893.5185546875,2900000,NA,1,38,5,0,58,4,8,6,1,1,1,0,84,9.09307803813342,1,0
766883.6875,3727.90673828125,737717,NA,1,22,6,1,38,5,11,1,1,1,1,0,48,8.223602158937103,0,0
737717,3586.12426757812,737717,NA,0,21,6,1,6,5,11,1,1,1,1,0,48,8.184827307100107,0,0
766883.6875,3727.90673828125,737717,NA,1,47,6,1,85,5,11,1,1,1,1,0,48,8.223602158937103,0,0
798967.0625,3883.86767578125,737717,NA,0,50,6,1,55,5,11,1,1,1,1,0,48,8.2645867597735,0,0
1541473.375,7193.54248046875,1300000,NA,1,35,7,0,3,6,2,1,1,1,1,0,50,8.880939024856016,0,0
889217,5187.09912109375,737717,NA,0,37,7,0,54,6,3,6,1,1,1,0,40,8.55392988369142,0,0
1058300,5487.4814453125,900000,NA,0,24,7,0,21,6,5,1,1,1,1,0,45,8.610224676113473,0,0
320000,2074.07397460938,300000,NA,0,47,5,0,54,4,6,1,3,0,1,0,36,7.6372700557567645,0,0
360000,2100,360000,NA,0,46,6,1,54,5,11,1,3,0,1,0,40,7.649692623711514,0,0
780000,3791.66674804688,780000,NA,0,57,6,1,55,5,10,1,1,1,1,0,48,8.240560976613954,0,0
600000,8750,600000,NA,1,24,6,1,58,5,11,6,1,0,1,0,16,9.07680897935166,1,0
737717,3586.12426757812,737717,NA,0,20,7,0,33,6,2,1,1,1,1,0,48,8.184827307100107,0,0
737717,3442.67944335938,737717,NA,1,42,5,0,93,4,7,6,1,0,1,0,50,8.14400535512938,0,0
1274806.625,6196.9765625,1100000,NA,1,25,6,1,37,5,11,1,1,1,1,0,48,8.731816800882985,0,0
2333333.25,18148.1484375,2000000,NA,0,58,7,0,13,6,5,6,2,1,1,0,30,9.806323820026357,0,0
2600000,12133.3330078125,2100000,NA,1,46,6,1,39,5,11,1,1,1,1,0,50,9.403711738128083,0,0
950000,4618.0556640625,950000,NA,1,25,6,1,45,5,11,1,1,1,1,0,48,8.437729043558232,0,0
2166666.75,10532.408203125,2000000,NA,0,31,7,0,6,6,5,1,1,1,1,0,48,9.26221227823247,0,0
1599806.625,8295.2939453125,1400000,NA,0,23,7,0,2,6,6,6,1,1,1,0,45,9.023443638441837,0,0
903140,5268.31689453125,800000,NA,1,25,7,0,39,6,5,2,1,1,1,0,40,8.569466215672643,0,0
1200000,5833.33349609375,1200000,NA,1,26,6,1,77,5,11,1,1,0,1,0,48,8.671343899145281,0,0
4441000,21588.1953125,4066000,NA,0,35,7,0,21,6,5,6,1,1,1,0,48,9.97990193096924,0,0
1166473.375,5670.3564453125,1000000,NA,1,52,5,0,58,4,8,1,1,1,1,0,48,8.643007259880347,0,0
882333.4375,4289.12109375,737717,NA,0,51,5,0,55,4,8,1,1,1,1,0,48,8.363837117680923,0,0
1483140,6408.62939453125,1400000,NA,1,60,6,1,93,5,11,1,1,1,1,0,54,8.765400704045271,0,0
1304806.625,6342.81005859375,1140000,NA,1,30,6,1,58,5,11,1,1,1,1,0,48,8.755077176142771,0,0
900000,2500,900000,NA,1,32,5,0,77,4,9,1,1,0,1,0,84,7.824046010856292,1,0
1223140,5945.8193359375,1140000,NA,1,27,3,0,58,3,3,1,1,1,1,0,48,8.690443618962144,0,0
737717,3586.12426757812,737717,NA,1,21,7,0,19,6,2,1,1,1,1,0,48,8.184827307100107,0,0
1000000,4861.111328125,1000000,NA,1,30,7,0,15,6,3,1,1,1,1,0,48,8.489022359092397,0,0
3150000,16333.3330078125,2700000,NA,1,27,7,0,8,6,5,1,1,1,1,0,45,9.700963268494807,0,0
1166473.375,5670.3564453125,1000000,NA,1,59,3,0,45,3,4,1,1,1,1,0,48,8.643007259880347,0,0
1300000,7583.33349609375,1200000,NA,0,57,4,0,54,3,5,1,3,1,1,0,40,8.933708157173898,0,0
800000,2871.794921875,800000,NA,1,43,6,1,84,5,11,1,1,0,1,0,65,7.9626925215862014,0,0
1403806.625,6824.06005859375,1200000,NA,1,42,7,0,58,6,1,1,1,1,1,0,48,8.828209890216279,0,0
3000000,11666.6669921875,3000000,NA,0,26,7,0,45,6,4,1,1,0,1,0,60,9.364491079705227,0,0
820857,3990.27709960938,737717,NA,1,22,6,1,58,5,11,1,1,1,1,0,48,8.291615955996127,0,0
3250000,15798.611328125,3000000,NA,0,41,7,0,39,6,5,1,1,1,1,0,48,9.667677324527451,0,0
1254000,6095.83349609375,900000,NA,0,44,6,1,90,5,11,1,1,1,1,0,48,8.715360783360543,0,0
1383140,6723.59716796875,1200000,NA,1,21,7,0,55,6,2,1,1,1,1,0,48,8.813378583151575,0,0
500000,2430.5556640625,500000,NA,1,19,6,1,58,5,11,1,2,1,1,0,48,7.795875178532452,0,0
991333.4375,2360.31762695312,737717,50000,0,39,7,0,79,6,3,6,1,1,1,0,98,7.766551476655545,1,0
300000,1000,300000,NA,1,19,6,1,58,5,11,1,2,1,1,0,70,6.907755278982137,0,0
7984166.5,38811.921875,7370000,NA,1,59,7,0,3,6,4,6,1,1,1,0,48,10.566482743234785,0,1
972394.1875,4726.916015625,820850,NA,0,53,7,0,51,6,5,6,1,1,1,0,48,8.461028263684906,0,0
12000000,44444.4453125,10000000,2000000,0,51,7,0,21,6,13,1,2,1,1,0,63,10.701995268285149,0,1
2683333.25,13043.9814453125,2500000,NA,1,31,7,0,2,6,5,6,1,1,1,0,48,9.476082114439055,0,0
1623333.375,10521.60546875,1490000,NA,0,28,7,0,39,6,5,1,1,1,1,0,36,9.26118608574572,0,0
1300000,6319.4443359375,1300000,NA,1,26,7,0,2,6,5,1,1,1,1,0,48,8.751386561746703,0,0
1550000,9041.6669921875,1550000,NA,0,57,7,0,13,6,7,4,2,1,1,0,40,9.109598838176954,0,0
600000,2333.33325195312,600000,NA,0,49,7,0,77,6,3,6,1,1,1,0,60,7.755053104492106,0,0
3375000,16406.25,3000000,NA,0,58,7,0,39,6,2,6,2,1,1,0,48,9.705417638774033,0,0
883357,4294.0966796875,737717,NA,1,25,6,1,87,5,11,6,1,1,1,0,48,8.36499649324989,0,0
2654000,12901.388671875,2000000,NA,0,26,7,0,2,6,5,1,1,1,1,0,48,9.465090233538586,0,0
1500000,7291.66650390625,1500000,NA,1,51,6,1,91,5,11,6,1,0,1,0,48,8.894487400236276,0,0
781000,2603.33325195312,781000,NA,1,45,6,1,98,5,11,1,1,1,1,0,70,7.864547922905617,0,0
916666.6875,4456.0185546875,850000,NA,1,38,6,1,98,5,11,1,1,1,1,0,48,8.402010945576794,0,0
5287500,22847.22265625,4700000,NA,1,36,7,0,8,6,6,1,2,1,1,0,54,10.036584842162513,0,0
500000,2333.33325195312,500000,NA,1,20,5,0,98,4,9,6,1,0,1,0,50,7.755053104492106,0,0
18000000,75000,18000000,NA,0,53,7,0,6,6,7,6,1,1,1,0,56,11.225243392518447,0,1
820857,2660.18481445312,737717,NA,1,22,6,1,39,5,11,6,1,1,1,0,72,7.886150878479897,0,0
820857,3990.27709960938,737717,NA,1,46,4,0,95,3,5,6,1,1,1,0,48,8.291615955996127,0,0
849857,4131.24951171875,737717,NA,0,27,6,1,79,5,11,1,1,1,1,0,48,8.326335185407856,0,0
1226473.375,5962.0234375,1000000,NA,0,52,7,0,59,6,2,1,1,1,1,0,48,8.693165205377555,0,0
250000,1215.27783203125,250000,NA,0,55,6,1,54,5,10,1,3,0,1,0,48,7.102727997972506,0,0
1300000,6319.4443359375,1300000,NA,1,37,7,0,19,6,2,1,1,1,1,0,48,8.751386561746703,0,0
833333.3125,4050.92578125,800000,NA,1,63,3,0,83,3,3,1,1,1,1,0,48,8.3067007219413,0,0
600000,4666.66650390625,600000,NA,0,49,4,0,54,3,5,1,3,0,1,0,30,8.448200285052053,0,0
850000,4131.9443359375,850000,NA,1,22,6,1,59,5,11,1,1,0,1,0,48,8.326503358691262,0,0
975000,4739.58349609375,900000,NA,1,44,7,0,36,6,3,1,1,1,1,0,48,8.46370454080591,0,0
850023.6875,4132.0595703125,737717,NA,1,23,6,1,39,5,11,1,1,1,1,0,48,8.326531246958575,0,0
700000,2722.22216796875,700000,NA,1,28,3,0,39,3,2,1,1,0,1,0,60,7.909203799266752,0,0
820857,3990.27709960938,737717,NA,1,41,5,0,58,4,9,1,1,1,1,0,48,8.291615955996127,0,0
1087140,5284.70849609375,900000,NA,1,45,6,1,98,5,11,6,1,1,1,0,48,8.572572739941847,0,0
1025640,5318.13330078125,870000,NA,0,44,6,1,32,5,11,6,1,1,1,0,45,8.578877637449942,0,0
1266666.625,5911.11083984375,1200000,NA,1,40,7,0,21,6,2,1,1,1,1,0,50,8.684589052102421,0,0
1132300,5871.18505859375,900000,NA,0,34,7,0,3,6,2,1,1,1,1,0,45,8.67781177636349,0,0
866690.3125,3370.46240234375,737717,NA,1,26,6,1,33,5,11,1,1,1,1,0,60,8.122805225311755,0,0
941357,5491.2490234375,737717,NA,0,23,6,1,55,5,11,1,1,1,1,0,40,8.610911017450228,0,0
800000,4148.14794921875,800000,NA,1,44,4,0,51,3,5,1,1,0,1,0,45,8.330417236316707,0,0
900000,4375,900000,NA,0,20,6,1,45,5,11,1,1,0,1,0,48,8.383661798791715,0,0
911333.4375,4430.09326171875,737717,NA,1,44,4,0,45,3,5,6,1,1,1,0,48,8.3961759151243,0,0
900000,4200,900000,NA,1,20,5,0,45,4,8,6,1,0,1,0,50,8.34283980427146,0,0
1316473.375,6399.5234375,1000000,NA,1,21,6,1,92,5,11,6,1,1,1,0,48,8.76397880368464,0,0
500000,4166.66650390625,500000,NA,0,38,6,1,51,5,11,4,1,0,1,0,28,8.334871595559783,0,0
800000,4666.66650390625,800000,NA,1,43,6,1,37,5,11,1,1,0,1,0,40,8.448200285052053,0,0
1000000,4861.111328125,1000000,NA,1,32,6,1,45,5,11,1,1,1,1,0,48,8.489022359092397,0,0
1095690.25,5113.22119140625,737717,200000,0,51,4,0,54,3,5,1,3,1,1,0,50,8.53958485473616,0,0
160000,1555.55554199219,160000,NA,0,19,6,1,53,5,11,6,1,0,1,0,24,7.3495880225418695,1,0
1166473.375,4536.28515625,1000000,NA,0,38,4,0,53,3,5,6,1,1,1,0,60,8.419863708566139,0,0
754383.6875,3259.6826171875,737717,NA,1,43,4,0,87,3,5,1,1,1,1,0,54,8.089385112930332,0,0
920857,5371.666015625,737717,NA,1,54,6,1,98,5,11,1,1,1,1,0,40,8.588893384382228,0,0
737717,3586.12426757812,737717,NA,1,21,6,1,56,5,11,1,1,1,1,0,48,8.184827307100107,0,0
882333.4375,4117.55615234375,737717,NA,0,43,6,1,54,5,11,6,3,1,1,0,50,8.323015099443626,0,0
300000,1750,300000,NA,0,37,4,0,45,3,5,1,1,0,1,0,40,7.4673710669175595,0,0
240000,1866.66662597656,240000,NA,0,24,7,0,53,6,3,3,1,0,1,0,30,7.531909566256859,0,0
1080857,5482.60791015625,737717,180000,0,43,6,1,55,5,11,1,1,1,1,0,46,8.609336162753381,0,0
1270333.375,6175.2314453125,737717,NA,1,43,7,0,33,6,3,1,1,1,1,0,48,8.72830164181605,0,0
800000,3733.33325195312,800000,NA,1,33,6,1,95,5,11,1,1,0,1,0,50,8.225056746816804,0,0
3075000,17937.5,2900000,NA,0,32,7,0,6,6,8,1,1,1,1,0,40,9.794648772501978,0,0
1737140,8444.4306640625,1500000,NA,1,52,6,1,98,5,11,1,1,1,1,0,48,9.041262410043581,0,0
1166473.375,6329.70068359375,1000000,NA,0,23,7,0,33,6,5,6,1,1,1,0,43,8.753008228647998,0,0
859193.4375,2784.42309570312,737717,NA,1,35,6,1,98,5,11,1,1,1,1,0,72,7.93179598393872,0,0
911333.4375,4430.09326171875,737717,NA,0,23,6,1,55,5,11,1,1,1,1,0,48,8.3961759151243,0,0
800000,2592.59252929688,800000,NA,0,21,7,0,59,6,2,1,1,0,1,0,72,7.860413630613106,0,0
1441333.5,4003.7041015625,737717,500000,0,41,7,0,59,6,2,1,1,1,1,0,84,8.294975236995652,1,0
882333.4375,4289.12109375,737717,NA,1,54,5,0,97,4,7,1,1,1,1,0,48,8.363837117680923,0,0
2166666.75,10532.408203125,2000000,NA,1,23,7,0,42,6,5,1,1,1,1,0,48,9.26221227823247,0,0
800000,4666.66650390625,800000,NA,1,57,6,1,45,5,11,1,1,0,1,0,40,8.448200285052053,0,0
10000000,72916.6640625,10000000,NA,0,33,7,0,6,6,9,1,1,1,1,0,32,11.197072479837464,0,1
600000,3500,600000,NA,1,63,6,1,98,5,11,1,3,0,1,0,40,8.160518247477505,0,0
16000000,77777.78125,16000000,NA,1,41,7,0,21,6,5,1,1,1,1,0,48,11.261611081332179,0,1
8750000,42534.72265625,8500000,NA,0,38,7,0,30,6,5,1,1,1,1,0,48,10.658076025023146,0,1
900000,4375,900000,NA,0,49,5,0,54,4,8,1,3,0,1,0,48,8.383661798791715,0,0
2200000,10694.4443359375,2000000,NA,1,54,7,0,3,6,3,1,1,1,1,0,48,9.277479664667707,0,0
1383140,6454.6533203125,1200000,NA,1,27,7,0,2,6,5,1,1,1,1,0,50,8.772556594683156,0,0
737717,3586.12426757812,737717,NA,1,47,4,0,93,3,5,1,1,1,1,0,48,8.184827307100107,0,0
1150000,5590.27783203125,1100000,NA,0,24,7,0,19,6,3,1,1,1,1,0,48,8.628784266529669,0,0
900000,4375,900000,NA,1,62,4,0,81,3,5,4,1,1,1,0,48,8.383661798791715,0,0
1120000,4355.5556640625,1120000,NA,1,44,6,1,98,5,11,4,1,1,1,0,60,8.379207473354644,0,0
2708333.25,13165.5087890625,2200000,NA,1,42,7,0,21,6,5,1,1,1,1,0,48,9.485355718282946,0,0
882333.4375,4289.12109375,737717,NA,1,63,4,0,58,3,5,6,1,1,1,0,48,8.363837117680923,0,0
1166473.375,5670.3564453125,1000000,NA,0,33,7,0,11,6,5,1,1,1,1,0,48,8.643007259880347,0,0
804383.6875,3910.19848632812,737717,NA,0,50,5,0,53,4,6,1,1,1,1,0,48,8.271343415457757,0,0
1083333.375,5266.2041015625,1000000,NA,0,30,7,0,13,6,7,6,1,1,1,0,48,8.569065097672524,0,0
1207423.625,5869.42041015625,737717,NA,1,40,6,1,98,5,11,1,1,1,1,0,48,8.677511170324818,0,0
671373.3125,6266.15087890625,500000,NA,0,34,5,0,32,4,9,4,1,1,1,0,25,8.742917550205046,0,0
920000,4472.22216796875,920000,NA,1,23,6,1,85,5,11,1,1,0,1,0,48,8.40564069337928,0,0
882333.4375,3743.23266601562,737717,NA,0,23,7,0,37,6,0,1,1,1,1,0,55,8.227704866275955,0,0
200000,848.48486328125,200000,NA,0,45,5,0,54,4,7,1,3,0,1,0,55,6.743452245129476,0,0
9183334,42015.25390625,7000000,1600000,0,37,7,0,2,6,7,1,1,1,1,0,51,10.645788019572667,0,1
975000,4739.58349609375,900000,NA,0,41,6,1,39,5,11,1,1,1,1,0,48,8.46370454080591,0,0
1462500,7109.375,1400000,NA,0,26,6,1,53,5,11,1,1,1,1,0,48,8.869169614573416,0,0
2845666.5,13833.1005859375,2600000,NA,1,29,7,0,21,6,4,6,1,1,1,0,48,9.534819592296184,0,0
1279000,6217.361328125,1200000,NA,0,28,7,0,21,6,5,6,1,1,1,0,48,8.735100871950747,0,0
1549806.625,8610.037109375,1400000,NA,1,30,6,1,45,5,11,1,1,0,1,0,42,9.060683907444428,0,0
912523.6875,4435.87890625,737717,NA,1,28,6,1,97,5,11,1,1,1,1,0,48,8.397481050137788,0,0
882523.6875,4290.0458984375,737717,NA,0,22,6,1,59,5,11,1,1,1,1,0,48,8.36405271080131,0,0
1244473.375,6049.5234375,1000000,NA,1,25,7,0,39,6,2,1,1,1,1,0,48,8.707734777261159,0,0
700000,3402.77783203125,700000,NA,0,23,7,0,38,6,0,1,1,0,1,0,48,8.132347386454686,0,0
10008333,58381.94140625,8300000,NA,1,59,7,0,12,6,5,6,2,1,1,0,40,10.974761898501466,0,1
1600000,7777.77783203125,1600000,NA,1,25,7,0,39,6,5,1,1,1,1,0,48,8.959025950670723,0,0
7786666.5,37851.8515625,6480000,NA,0,54,7,0,11,6,7,1,2,1,1,0,48,10.541435176097133,0,1
1653000,8035.41650390625,1500000,NA,0,36,7,0,11,6,10,6,1,1,1,0,48,8.991614113033048,0,0
764383.6875,3715.75415039062,737717,NA,0,48,7,0,39,6,6,1,1,1,1,0,48,8.220336938000894,0,0
882523.6875,4290.0458984375,737717,NA,0,60,5,0,55,4,7,6,1,1,1,0,48,8.36405271080131,0,0
4500000,15000,4000000,NA,1,50,7,0,58,6,3,1,2,1,1,0,70,9.615805480084347,0,0
8000000,33333.33203125,8000000,NA,0,48,7,0,2,6,5,1,1,1,1,0,56,10.414313137239619,0,1
1300000,6319.4443359375,1200000,NA,1,54,6,1,98,5,11,1,1,1,1,0,48,8.751386561746703,0,0
5000000,24305.5546875,5000000,NA,1,39,7,0,2,6,5,6,1,1,1,0,48,10.098460191169355,0,0
3250000,15798.611328125,3000000,NA,0,36,7,0,19,6,5,6,1,1,1,0,48,9.667677324527451,0,0
3033333.25,15728.39453125,2800000,NA,1,38,7,0,11,6,5,1,1,1,1,0,45,9.663222926714374,0,0
3033333.25,17694.443359375,2800000,NA,0,32,7,0,6,6,5,1,1,1,1,0,40,9.781005934775582,0,0
900000,4375,900000,NA,0,59,4,0,53,3,5,1,1,0,1,0,48,8.383661798791715,0,0
